Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
157;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,718457787;0,031474641;4,380861554;
158;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,318262559;0,013868867;4,357680824;
159;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286678412;0,011793574;4,11386887;
160;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0,332092633;0,001712858;0,515777134;
161;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,357563499;0,021740529;6,080186763;
162;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,35896258;0,026975937;7,514972003;
163;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,613048013;0,018182787;2,965964581;
164;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,559319804;0,029009228;5,186518956;
165;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,811132173;0,059655336;7,354576507;
166;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0,266953331;0,039033567;14,62186944;
